date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:53	54952/54952	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202017%2020:16:58%20GMT	http://www.regnumhotels.com/en/default.html	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/en/default.html	(from )
13:16:53	69/69	---M-Z	200	added ('OK')	text/plain	date:Tue,%2010%20May%202016%2009:00:16%20GMT	http://www.regnumhotels.com/robots.txt		(from )
13:16:53	9896/9896	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:11:34%20GMT	http://www.regnumhotels.com/condor/js/essentials.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/js/essentials.js	(from http://www.regnumhotels.com/en/default.html)
13:16:53	94989/94989	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202017%2001:06:39%20GMT	http://www.regnumhotels.com/d/regnum/merged/global_f8_2017-04-25-13-57_291104689.css	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/merged/global_f8_2017-04-25-13-57_291104689.css	(from http://www.regnumhotels.com/en/default.html)
13:16:53	5785/5785	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20May%202016%2009:26:51%20GMT	http://www.regnumhotels.com/templates/main/css/global.fonts.css	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/templates/main/css/global.fonts.css	(from http://www.regnumhotels.com/en/default.html)
13:16:54	179760/179760	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2022%20Aug%202017%2001:04:12%20GMT	http://www.regnumhotels.com/d/regnum/merged/global_f3_2016-05-24-11-26_2578605390.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/merged/global_f3_2016-05-24-11-26_2578605390.js	(from http://www.regnumhotels.com/en/default.html)
13:16:55	34479/34479	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:21%20GMT	http://www.regnumhotels.com/condor/modules/imageSwitch/javascript.imageSwitch.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/imageSwitch/javascript.imageSwitch.js	(from http://www.regnumhotels.com/en/default.html)
13:16:55	4394/4394	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202017%2012:09:21%20GMT	http://www.regnumhotels.com/condor/modules/imageSwitch/style.imageSwitch.css	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/imageSwitch/style.imageSwitch.css	(from http://www.regnumhotels.com/en/default.html)
13:16:56	5944/5944	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:07%20GMT	http://www.regnumhotels.com/condor/modules/googleAnalytics/javascript.googleAnalytics.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/googleAnalytics/javascript.googleAnalytics.js	(from http://www.regnumhotels.com/en/default.html)
13:16:56	1506/1506	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202017%2003:59:51%20GMT	http://www.regnumhotels.com/templates/main/cookienotice/style.cookies.css	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/templates/main/cookienotice/style.cookies.css	(from http://www.regnumhotels.com/en/default.html)
13:16:56	6656/6656	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202017%2012:09:20%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/css/style.socialToolbar-common.css	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/css/style.socialToolbar-common.css	(from http://www.regnumhotels.com/en/default.html)
13:16:56	5866/5866	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202017%2012:09:20%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/css/style.socialToolbar-horizontal.css	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/css/style.socialToolbar-horizontal.css	(from http://www.regnumhotels.com/en/default.html)
13:16:56	2027/2027	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:19%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/javascript/json2.min.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/javascript/json2.min.js	(from http://www.regnumhotels.com/en/default.html)
13:16:57	28084/28084	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:19%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/javascript/javascript.socialToolbar.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/javascript/javascript.socialToolbar.js	(from http://www.regnumhotels.com/en/default.html)
13:16:57	93868/93868	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:19%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/javascript/jquery-1.7.1.min.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/javascript/jquery-1.7.1.min.js	(from http://www.regnumhotels.com/en/default.html)
13:16:58	1535/1535	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:19%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/javascript/jquery.cookie.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/javascript/jquery.cookie.js	(from http://www.regnumhotels.com/en/default.html)
13:16:58	116838/116838	---M--	200	added ('OK')	application/javascript	etag:%22d1ce5233f1115bd54eff49dbf6c3d6e2%22	https://platform.twitter.com/widgets.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/platform.twitter.com/widgets.js	(from http://www.regnumhotels.com/en/default.html)
13:16:59	201533/201533	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c9af208672d98746eebef4c7541d9f15%22	http://connect.facebook.net/en_US/all.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/connect.facebook.net/en_US/all.js	(from http://www.regnumhotels.com/en/default.html)
13:16:59	43306/43306	---MC-	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202017%2020:17:04%20GMT	https://apis.google.com/js/platform.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/apis.google.com/js/platform.js	(from http://www.regnumhotels.com/en/default.html)
13:17:01	4371/4371	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Jun%202017%2012:09:19%20GMT	http://www.regnumhotels.com/condor/modules/socialToolbar/javascript/javascript.socialAnalytics.js	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/condor/modules/socialToolbar/javascript/javascript.socialAnalytics.js	(from http://www.regnumhotels.com/en/default.html)
